gb	strain_name	segment	date	host	country	strain
KC175370	Hu/Norwalk/10199/2009/VNM	NA	2009-10-19	Human	Vietnam	KC175370
KC175406	Hu/Norwalk/20128/2009/VNM	NA	2009-09-04	Human	Vietnam	KC175406
KC175397	Hu/Norwalk/20066/2009/VNM	NA	2009-07-08	Human	Vietnam	KC175397
KC409304	Hu/GII/30017/2009/VNM	NA	2009-05-25	Human	Vietnam	KC409304
KC175387	Hu/Norwalk/10386/2010/VNM	NA	2010-03-24	Human	Vietnam	KC175387
KC409267	Hu/GII/20184/2009/VNM	NA	2009-10-04	Human	Vietnam	KC409267
KC409290	Hu/GII/20344/2009/VNM	NA	2009-12-23	Human	Vietnam	KC409290
FJ537135	Hu/GII.4/CHDC2094/1974/US	NA	1974-XX-XX	Human	USA	FJ537135
KC175350	Hu/Norwalk/10110/2009/VNM	NA	2009-07-05	Human	Vietnam	KC175350
HM748973	Hu/GII.4/NSW892U/2009/AU	NA	2009-XX-XX	Human	Australia	HM748973
KC576911	Hu/GII/B17/1977/CAF	NA	1977-08-09	Human	Central_African_Republic	KC576911
GQ845369	Hu/GII.4/NSW390I/2008/AU	NA	2008-XX-XX	Human	Australia	GQ845369
KC175372	Hu/Norwalk/10204/2009/VNM	NA	2009-10-28	Human	Vietnam	KC175372
KC175361	Hu/Norwalk/10163/2009/VNM	NA	2009-08-27	Human	Vietnam	KC175361
JN400603	UNKNOWN_JN400603	NA	2006-10-12	Human	Taiwan	JN400603
KC175391	Hu/Norwalk/20016/2009/VNM	NA	2009-05-20	Human	Vietnam	KC175391
KC409291	Hu/GII/20350/2009/VNM	NA	2009-12-27	Human	Vietnam	KC409291
KC409310	Hu/GII/30129/2009/VNM	NA	2009-07-23	Human	Vietnam	KC409310
KC175379	Hu/Norwalk/10255/2009/VNM	NA	2009-12-14	Human	Vietnam	KC175379
KC409274	Hu/GII/20198/2009/VNM	NA	2009-10-12	Human	Vietnam	KC409274
KC409279	Hu/GII/20215/2009/VNM	NA	2009-10-19	Human	Vietnam	KC409279
KF306214	Hu/GII.4/Jingzhou/2013403/CHN	NA	2013-04-XX	Human	China	KF306214
KC409313	Hu/GII/30206/2009/VNM	NA	2009-10-01	Human	Vietnam	KC409313
KC175385	Hu/Norwalk/10368/2010/VNM	NA	2010-03-17	Human	Vietnam	KC175385
KC175355	Hu/Norwalk/10137/2009/VNM	NA	2009-08-03	Human	Vietnam	KC175355
GU991353	Hu/GII/Shanghai/SH2/2008/CHN	NA	2008-12-XX	Human	China	GU991353
KJ194510	NV_Amsterdam_2_1995	NA	1995-01-27	Human	Netherlands	KJ194510
JN400600	UNKNOWN_JN400600	NA	2006-10-12	Human	Taiwan	JN400600
KJ194500	NV_Amsterdam_1_1995	NA	1995-01-20	Human	Netherlands	KJ194500
JN400620	UNKNOWN_JN400620	NA	2010-01-13	Human	Taiwan	JN400620
KC409303	Hu/GII/20478/2010/VNM	NA	2010-03-14	Human	Vietnam	KC409303
KF306213	Hu/GII.3/Jingzhou/2013402/CHN	NA	2013-04-XX	Human	China	KF306213
KC409301	Hu/GII/20469/2010/VNM	NA	2010-03-11	Human	Vietnam	KC409301
KC409257	Hu/GII/20159/2009/VNM	NA	2009-09-17	Human	Vietnam	KC409257
JX989073	Hu/GII.4/GZ2010_L26/Guangzhou/CHN/2010	NA	2010-11-26	Human	China	JX989073
JN400624	UNKNOWN_JN400624	NA	2010-03-01	Human	Taiwan	JN400624
KC175381	Hu/Norwalk/10296/2010/VNM	NA	2010-01-31	Human	Vietnam	KC175381
KC175373	Hu/Norwalk/10222/2009/VNM	NA	2009-11-05	Human	Vietnam	KC175373
KC175375	Hu/Norwalk/10235/2009/VNM	NA	2009-11-19	Human	Vietnam	KC175375
FJ537134	Hu/GII.4/CHDC5191/1974/US	NA	1974-XX-XX	Human	USA	FJ537134
KC175395	Hu/Norwalk/20044/2009/VNM	NA	2009-06-10	Human	Vietnam	KC175395
KC409241	Hu/GII/10405/2010/VNM	NA	2010-04-14	Human	Vietnam	KC409241
KC409293	Hu/GII/20365/2010/VNM	NA	2010-01-04	Human	Vietnam	KC409293
KC597144	Hu/GII.3/HK46/1977/CHN	NA	1977-12-09	Human	China	KC597144
JN400621	UNKNOWN_JN400621	NA	2010-01-23	Human	Taiwan	JN400621
KC409312	Hu/GII/30201/2009/VNM	NA	2009-09-28	Human	Vietnam	KC409312
KC597141	Hu/GII.3/NIHIC8.3/2011/USA	NA	2011-08-11	Human	USA	KC597141
KC597145	Hu/GII.12/NIHIC6/2010/USA	NA	2010-07-02	Human	USA	KC597145
KC409283	Hu/GII/20233/2009/VNM	NA	2009-11-01	Human	Vietnam	KC409283
KC409287	Hu/GII/20271/2009/VNM	NA	2009-11-16	Human	Vietnam	KC409287
JQ613571	Hu/GII.4/Miranda/NSW817L/2010/AU	NA	2010-08-XX	Human	Australia	JQ613571
KC409311	Hu/GII/30199/2009/VNM	NA	2009-09-25	Human	Vietnam	KC409311
KC409292	Hu/GII/20357/2009/VNM	NA	2009-12-29	Human	Vietnam	KC409292
JQ613569	Hu/GII.g_GII.12/Gunnedah/NSW895P/2010/AU	NA	2010-07-XX	Human	Australia	JQ613569
KC175382	Hu/Norwalk/10313/2010/VNM	NA	2010-02-22	Human	Vietnam	KC175382
KC409280	Hu/GII/20217/2009/VNM	NA	2009-10-20	Human	Vietnam	KC409280
KC175386	Hu/Norwalk/10378/2010/VNM	NA	2010-03-23	Human	Vietnam	KC175386
JN400604	UNKNOWN_JN400604	NA	2006-10-17	Human	Taiwan	JN400604
KC597140	Hu/GII.3/NIHIC8.1/2011/USA	NA	2011-05-05	Human	USA	KC597140
KC175407	Hu/Norwalk/20135/2009/VNM	NA	2009-09-06	Human	Vietnam	KC175407
KC409275	Hu/GII/20202/2009/VNM	NA	2009-10-12	Human	Vietnam	KC409275
KC175349	Hu/Norwalk/10079/2009/VNM	NA	2009-06-10	Human	Vietnam	KC175349
KC409269	Hu/GII/20187/2009/VNM	NA	2009-10-06	Human	Vietnam	KC409269
KJ194504	NV_Amsterdam_1994	NA	1995-01-30	Human	Netherlands	KJ194504
GQ845024	Hu/GII.4/NSW287R/2007/AUS	NA	2007-XX-XX	Human	Australia	GQ845024
JQ911595	Hu/GII/10002/2009/VNM	NA	2009-03-05	Human	Vietnam	JQ911595
KC175376	Hu/Norwalk/10236/2009/VNM	NA	2009-11-19	Human	Vietnam	KC175376
KC175363	Hu/Norwalk/10173/2009/VNM	NA	2009-09-10	Human	Vietnam	KC175363
JX126913	Hu/GII.4/Ohio/7G/2012/USA	NA	2012-XX-XX	Human	USA	JX126913
FJ514242	Hu/GII_4/CUK_3/2008/KR	NA	2008-XX-XX	Human	South_Korea	FJ514242
KC409238	Hu/GII/10101/2009/VNM	NA	2009-06-24	Human	Vietnam	KC409238
KC409296	Hu/GII/20413/2010/VNM	NA	2010-01-28	Human	Vietnam	KC409296
KC175346	Hu/Norwalk/10074/2009/VNM	NA	2009-06-09	Human	Vietnam	KC175346
JQ622197	Hu/GII_4/CBNU2/KR/2007	NA	2007-02-20	Human	South_Korea	JQ622197
KC175323	Hu/GII.4/Hong_Kong/CUHK3630/2012/CHN	NA	2012-08-XX	Human	Hong_Kong	KC175323
KC409298	Hu/GII/20448/2010/VNM	NA	2010-02-24	Human	Vietnam	KC409298
KC409258	Hu/GII/20161/2009/VNM	NA	2009-09-20	Human	Vietnam	KC409258
JN400614	UNKNOWN_JN400614	NA	2007-01-07	Human	Taiwan	JN400614
HQ009513	Hu/GII.4/JB_15/KOR/2008	NA	2008-XX-XX	Human	South_Korea	HQ009513
KC409302	Hu/GII/20477/2010/VNM	NA	2010-03-14	Human	Vietnam	KC409302
KC175357	Hu/Norwalk/10148/2009/VNM	NA	2009-08-10	Human	Vietnam	KC175357
KC409259	Hu/GII/20162/2009/VNM	NA	2009-09-20	Human	Vietnam	KC409259
JN400623	UNKNOWN_JN400623	NA	2010-01-28	Human	Taiwan	JN400623
JX459906	Hu/GII.4/Miranda/NSW850K/2011/AU	NA	2011-06-XX	Human	Australia	JX459906
KC175367	Hu/Norwalk/10182/2009/VNM	NA	2009-09-16	Human	Vietnam	KC175367
KC409278	Hu/GII/20208/2009/VNM	NA	2009-10-14	Human	Vietnam	KC409278
KC175388	Hu/Norwalk/20008/2009/VNM	NA	2009-05-04	Human	Vietnam	KC175388
JQ613570	Hu/GII.4/Rockdale/NSW006D/2009/AU	NA	2009-07-XX	Human	Australia	JQ613570
KC175404	Hu/Norwalk/20122/2009/VNM	NA	2009-08-30	Human	Vietnam	KC175404
KC175362	Hu/Norwalk/10169/2009/VNM	NA	2009-09-03	Human	Vietnam	KC175362
KC175399	Hu/Norwalk/20069/2009/VNM	NA	2009-07-15	Human	Vietnam	KC175399
FJ537137	Hu/GII.4/CHDC4108/1987/US	NA	1987-XX-XX	Human	USA	FJ537137
KC409318	Hu/GII/30266/2009/VNM	NA	2009-11-03	Human	Vietnam	KC409318
KC409254	Hu/GII/20153/2009/VNM	NA	2009-09-15	Human	Vietnam	KC409254
JQ911597	Hu/GII/10012/2009/VNM	NA	2009-07-05	Human	Vietnam	JQ911597
KC175394	Hu/Norwalk/20035/2009/VNM	NA	2009-06-01	Human	Vietnam	KC175394
JN400606	UNKNOWN_JN400606	NA	2006-10-31	Human	Taiwan	JN400606
KC175389	Hu/Norwalk/20010/2009/VNM	NA	2009-05-11	Human	Vietnam	KC175389
KC409307	Hu/GII/30045/2009/VNM	NA	2009-06-08	Human	Vietnam	KC409307
KC175396	Hu/Norwalk/20047/2009/VNM	NA	2009-06-19	Human	Vietnam	KC175396
KC175401	Hu/Norwalk/20093/2009/VNM	NA	2009-08-02	Human	Vietnam	KC175401
AY502023	Hu/NoV/Farmington_Hills/2002/USA	NA	NA	Human	USA	AY502023
EU310927	Hu/Houston/TCH186/2002/US	NA	NA	Human	USA	EU310927
AB083781	YURI_32073	NA	NA	Human	Japan	AB083781
DQ658413	Hu/GII.4/MD_2004/2004/US	NA	NA	Human	NA	DQ658413
AY502020	Hu/NoV/CS_G12002/USA	NA	NA	Human	USA	AY502020
AB045603	UNKNOWN_AB045603	NA	NA	Human	Japan	AB045603
KJ649705	GII/Hu/HKG/2013/GII.4/CUHK_NS_141	NA	2013-02-25	Human	Hong_Kong	KJ649705
KJ196276	Saitama/T80	NA	2002-XX-XX	Human	Japan	KJ196276
KJ196278	Sendai/YG99	NA	2007-XX-XX	Human	Japan	KJ196278
KJ196295	Musashimurayama/TAKAsanKimchi	NA	2010-XX-XX	Human	Japan	KJ196295
KJ196299	Saitama/T18	NA	2001-XX-XX	Human	Japan	KJ196299
KJ196287	Shimada/ASC96	NA	2010-XX-XX	Human	Japan	KJ196287
KJ196297	Fukuoka/KK282	NA	2007-XX-XX	Human	Japan	KJ196297
KJ196292	Shimizu/KK2866	NA	2007-XX-XX	Human	Japan	KJ196292
KJ196284	Kawasaki/YO284	NA	2007-XX-XX	Human	Japan	KJ196284
KJ196288	Saitama/T52	NA	2002-XX-XX	Human	Japan	KJ196288
KJ196293	Fukuyama/1	NA	2012-XX-XX	Human	Japan	KJ196293
KJ196281	Fukuyama/5	NA	2012-XX-XX	Human	Japan	KJ196281
KJ196282	Saitama/T15	NA	2001-XX-XX	Human	Japan	KJ196282
KJ196286	Saitama/T87	NA	2002-XX-XX	Human	Japan	KJ196286
KJ196291	Yuzawa/Gira2HS	NA	2011-XX-XX	Human	Japan	KJ196291
KJ196280	Fukuyama/2	NA	2012-XX-XX	Human	Japan	KJ196280
KJ196289	Taipei/109	NA	2012-XX-XX	Human	Taiwan	KJ196289
KJ196279	Fukuyama/3	NA	2012-XX-XX	Human	Japan	KJ196279
KJ196285	Taipei/108	NA	2012-XX-XX	Human	Taiwan	KJ196285
KJ196294	Saitama/KU16	NA	2000-XX-XX	Human	Japan	KJ196294
KJ196296	Taipei/105	NA	2012-XX-XX	Human	Taiwan	KJ196296
KJ196277	Saitama/T49	NA	2001-XX-XX	Human	Japan	KJ196277
KM198503	Hu/GII/C2033/2010/VNM	NA	2010-06-28	Human	Vietnam	KM198503
KM198497	Hu/GII/10236/2009/VNM	NA	2009-11-19	Human	Vietnam	KM198497
KM198587	Hu/GII/20153/2009/VNM	NA	2009-09-16	Human	Vietnam	KM198587
KM198523	Hu/GII/10204/2009/VNM	NA	2009-10-29	Human	Vietnam	KM198523
KM198508	Hu/GII/20066/2009/VNM	NA	2009-07-14	Human	Vietnam	KM198508
KM198551	Hu/GII/20108/2009/VNM	NA	2009-08-20	Human	Vietnam	KM198551
KM198505	Hu/GII/20460/2010/VNM	NA	2010-03-04	Human	Vietnam	KM198505
KM198517	Hu/GII/30399/2010/VNM	NA	2010-01-11	Human	Vietnam	KM198517
KM198498	Hu/GII/20088/2009/VNM	NA	2009-07-28	Human	Vietnam	KM198498
KM198586	Hu/GII/30400/2010/VNM	NA	2010-01-11	Human	Vietnam	KM198586
KM198548	Hu/GII/20107/2009/VNM	NA	2009-08-20	Human	Vietnam	KM198548
KM198511	Hu/GII/C2H_24/2011/VNM	NA	2011-09-16	Human	Vietnam	KM198511
KM198502	Hu/GII/10136/2009/VNM	NA	2009-08-03	Human	Vietnam	KM198502
KM198558	Hu/GII/30257/2009/VNM	NA	2009-10-30	Human	Vietnam	KM198558
KM198522	Hu/GII/20150/2009/VNM	NA	2009-09-15	Human	Vietnam	KM198522
KM198559	Hu/GII/10129/2009/VNM	NA	2009-07-20	Human	Vietnam	KM198559
KM198566	Hu/GII/20093/2009/VNM	NA	2009-08-03	Human	Vietnam	KM198566
KM198487	Hu/GII/10110/2009/VNM	NA	2009-07-06	Human	Vietnam	KM198487
KM198486	Hu/GII/C2H_18/2011/VNM	NA	2011-08-30	Human	Vietnam	KM198486
KM198535	Hu/GII/20092/2009/VNM	NA	2009-07-31	Human	Vietnam	KM198535
KM198546	Hu/GII/20067/2009/VNM	NA	2009-07-15	Human	Vietnam	KM198546
KM198516	Hu/GII/10285/2010/VNM	NA	2010-01-18	Human	Vietnam	KM198516
KM198553	Hu/GII/30381/2010/VNM	NA	2010-01-04	Human	Vietnam	KM198553
KM198570	Hu/GII/20146/2009/VNM	NA	2009-09-11	Human	Vietnam	KM198570
KM198588	Hu/GII/10037/2009/VNM	NA	2009-05-15	Human	Vietnam	KM198588
KM198504	Hu/GII/20151/2009/VNM	NA	2009-09-16	Human	Vietnam	KM198504
KM198495	Hu/GII/10193/2009/VNM	NA	2009-10-05	Human	Vietnam	KM198495
KM198582	Hu/GII/30192/2010/VNM	NA	2009-09-21	Human	Vietnam	KM198582
KM198581	Hu/GII/10003/2009/VNM	NA	2009-05-05	Human	Vietnam	KM198581
KM198485	Hu/GII/10148/2009/VNM	NA	2009-08-11	Human	Vietnam	KM198485
KM198540	Hu/GII/20145/2009/VNM	NA	2009-09-11	Human	Vietnam	KM198540
KM198534	Hu/GII/30443/2010/VNM	NA	2010-01-28	Human	Vietnam	KM198534
KM198493	Hu/GII/30468/2010/VNM	NA	2010-02-24	Human	Vietnam	KM198493
KM198510	Hu/GII/10012/2009/VNM	NA	2009-05-07	Human	Vietnam	KM198510
KM198567	Hu/GII/10255/2009/VNM	NA	2009-12-15	Human	Vietnam	KM198567
KM198496	Hu/GII/20419/2010/VNM	NA	2010-02-01	Human	Vietnam	KM198496
KM198507	Hu/GII/C2007/2010/VNM	NA	2010-04-02	Human	Vietnam	KM198507
KM198571	Hu/GII/20123/2009/VNM	NA	2009-09-01	Human	Vietnam	KM198571
KM198560	Hu/GII/C2H_50/2011/VNM	NA	2011-11-22	Human	Vietnam	KM198560
KM198484	Hu/GII/30212/2009/VNM	NA	2009-10-06	Human	Vietnam	KM198484
KM198576	Hu/GII/C2H_43/2011/VNM	NA	2011-10-14	Human	Vietnam	KM198576
KM198550	Hu/GII/10078/2009/VNM	NA	2009-06-10	Human	Vietnam	KM198550
KM198494	Hu/GII/10247/2009/VNM	NA	2009-12-10	Human	Vietnam	KM198494
KM198580	Hu/GII/10223/2009/VNM	NA	2009-11-06	Human	Vietnam	KM198580
KM198577	Hu/GII/10145/2009/VNM	NA	2009-08-07	Human	Vietnam	KM198577
KM198541	Hu/GII/20188/2009/VNM	NA	2009-10-07	Human	Vietnam	KM198541
KM198519	Hu/GII/30082/2009/VNM	NA	2009-06-23	Human	Vietnam	KM198519
KM198513	Hu/GII/20494/2010/VNM	NA	2010-03-19	Human	Vietnam	KM198513
KM198520	Hu/GII/10158/2009/VNM	NA	2009-08-21	Human	Vietnam	KM198520
KC576910	Hu/GII.6/S9c/1976/SEN	NA	1976-03-12	Human	Senegal	KC576910
KM198591	Hu/GII/20122/2009/VNM	NA	2009-08-31	Human	Vietnam	KM198591
KM198529	Hu/GII/C2H_27/2011/VNM	NA	2011-09-21	Human	Vietnam	KM198529
KM198491	Hu/GII/30351/2009/VNM	NA	2009-12-17	Human	Vietnam	KM198491
KM198527	Hu/GII/10074/2009/VNM	NA	2009-06-09	Human	Vietnam	KM198527
KM198482	Hu/GII/10114/2009/VNM	NA	2009-07-09	Human	Vietnam	KM198482
KM198483	Hu/GII/10313/2010/VNM	NA	2010-02-22	Human	Vietnam	KM198483
KM198518	Hu/GII/10182/2009/VNM	NA	2009-09-17	Human	Vietnam	KM198518
KM198542	Hu/GII/20094/2009/VNM	NA	2009-08-03	Human	Vietnam	KM198542
KM198557	Hu/GII/10194/2009/VNM	NA	2009-10-13	Human	Vietnam	KM198557
KM198555	Hu/GII/C2035/2010/VNM	NA	2010-06-28	Human	Vietnam	KM198555
KM198568	Hu/GII/C2H_62/2011/VNM	NA	2011-12-14	Human	Vietnam	KM198568
KM198561	Hu/GII/30303/2009/VNM	NA	2009-11-23	Human	Vietnam	KM198561
KM198536	Hu/GII/20079/2009/VNM	NA	2009-07-24	Human	Vietnam	KM198536
KM198572	Hu/GII/20370/2010/VNM	NA	2010-01-06	Human	Vietnam	KM198572
KM198545	Hu/GII/10195/2009/VNM	NA	2009-10-13	Human	Vietnam	KM198545
KM198528	Hu/GII/C2H_25/2011/VNM	NA	2011-09-20	Human	Vietnam	KM198528
KM198521	Hu/GII/10176/2009/VNM	NA	2009-09-14	Human	Vietnam	KM198521
KM198492	Hu/GII/30448/2010/VNM	NA	2010-01-29	Human	Vietnam	KM198492
KM198526	Hu/GII/10075/2009/VNM	NA	2009-06-09	Human	Vietnam	KM198526
KM198481	Hu/GII/10054/2009/VNM	NA	2009-05-21	Human	Vietnam	KM198481
KM198590	Hu/GII/C2H_39/2011/VNM	NA	2011-10-24	Human	Vietnam	KM198590
KM198562	Hu/GII/C2H_55/2011/VNM	NA	2011-11-25	Human	Vietnam	KM198562
KM198512	Hu/GII/10062/2009/VNM	NA	2009-05-29	Human	Vietnam	KM198512
KM198578	Hu/GII/C2H_52/2011/VNM	NA	2011-11-24	Human	Vietnam	KM198578
KM198583	Hu/GII/20493/2010/VNM	NA	2010-03-19	Human	Vietnam	KM198583
KJ196283	Taipei/106	NA	2012-XX-XX	Human	Taiwan	KJ196283
KM198531	Hu/GII/30116/2009/VNM	NA	2009-07-09	Human	Vietnam	KM198531
KM198543	Hu/GII/20357/2009/VNM	NA	2009-12-30	Human	Vietnam	KM198543
KM198589	Hu/GII/20144/2009/VNM	NA	2009-09-10	Human	Vietnam	KM198589
KM198537	Hu/GII/10137/2009/VNM	NA	2009-08-04	Human	Vietnam	KM198537
KM198515	Hu/GII/C2H_31/2011/VNM	NA	2011-09-28	Human	Vietnam	KM198515
KM198579	Hu/GII/10160/2009/VNM	NA	2009-08-26	Human	Vietnam	KM198579
KM198569	Hu/GII/10235/2009/VNM	NA	2009-11-19	Human	Vietnam	KM198569
KM198506	Hu/GII/10199/2009/VNM	NA	2009-10-20	Human	Vietnam	KM198506
KM198552	Hu/GII/20154/2009/VNM	NA	2009-09-16	Human	Vietnam	KM198552
KM198573	Hu/GII/C2H_45/2011/VNM	NA	2011-11-02	Human	Vietnam	KM198573
KM198585	Hu/GII/10238/2009/VNM	NA	2009-11-19	Human	Vietnam	KM198585
KM198544	Hu/GII/C2418/2010/VNM	NA	2010-11-01	Human	Vietnam	KM198544
KM198564	Hu/GII/C2H_44/2011/VNM	NA	2011-10-31	Human	Vietnam	KM198564
KM198480	Hu/GII/10116/2009/VNM	NA	2009-07-09	Human	Vietnam	KM198480
KM198489	Hu/GII/10101/2009/VNM	NA	2009-06-25	Human	Vietnam	KM198489
KM198533	Hu/GII/30241/2009/VNM	NA	2009-10-26	Human	Vietnam	KM198533
KM198530	Hu/GII/20486/2010/VNM	NA	2010-03-18	Human	Vietnam	KM198530
KM198563	Hu/GII/C2365/2010/VNM	NA	2010-09-15	Human	Vietnam	KM198563
KM198525	Hu/GII/10163/2009/VNM	NA	2009-08-28	Human	Vietnam	KM198525
KM198549	Hu/GII/30473/2010/VNM	NA	2010-03-01	Human	Vietnam	KM198549
KM198574	Hu/GII/10183/2009/VNM	NA	2009-09-22	Human	Vietnam	KM198574
KM198547	Hu/GII/C2H_47/2011/VNM	NA	2011-11-03	Human	Vietnam	KM198547
KM198501	Hu/GII/10173/2009/VNM	NA	2009-09-11	Human	Vietnam	KM198501
KM198514	Hu/GII/10079/2009/VNM	NA	2009-06-11	Human	Vietnam	KM198514
JX846929	Hu/GI.3/CHDC116/1978/USA	NA	1978-04-27	Human	USA	JX846929
KM198538	Hu/GII/10051/2009/VNM	NA	2009-05-21	Human	Vietnam	KM198538
KM198499	Hu/GII/20118/2009/VNM	NA	2009-08-28	Human	Vietnam	KM198499
KM198556	Hu/GII/10127/2009/VNM	NA	2009-07-17	Human	Vietnam	KM198556
KM198554	Hu/GII/C2H_48/2011/VNM	NA	2011-11-04	Human	Vietnam	KM198554
KM198532	Hu/GII/10108/2009/VNM	NA	2009-07-02	Human	Vietnam	KM198532
KM198490	Hu/GII/10002/2009/VNM	NA	2009-05-04	Human	Vietnam	KM198490
KM198488	Hu/GII/10325/2010/VNM	NA	2010-02-26	Human	Vietnam	KM198488
KM198565	Hu/GII/10169/2009/VNM	NA	2009-09-04	Human	Vietnam	KM198565
KM198524	Hu/GII/10034/2009/VNM	NA	2009-05-15	Human	Vietnam	KM198524
KM198575	Hu/GII/20069/2009/VNM	NA	2009-07-16	Human	Vietnam	KM198575
KM198539	Hu/GII/C2H_36/2011/VNM	NA	2011-10-25	Human	Vietnam	KM198539
KM198584	Hu/GII/10131/2009/VNM	NA	2009-07-22	Human	Vietnam	KM198584
KM198500	Hu/GII/C2H_20/2011/VNM	NA	2011-09-05	Human	Vietnam	KM198500
KM198509	Hu/GII/20479/2010/VNM	NA	2010-03-16	Human	Vietnam	KM198509
KJ685415	Hu/GII/BG1C0241_33/2011/BGD	NA	2011-07-19	Human	Bangladesh	KJ685415
KJ685412	Hu/GII/BG1C0405/2012/BGD	NA	2012-01-26	Human	Bangladesh	KJ685412
KJ685417	Hu/GII/BG1C0270/2011/BGD	NA	2011-11-03	Human	Bangladesh	KJ685417
KJ685406	Hu/GII/BG1C0391/2012/BGD	NA	2012-04-19	Human	Bangladesh	KJ685406
KJ685403	Hu/GII/BG1C0204/2011/BGD	NA	2011-07-27	Human	Bangladesh	KJ685403
KJ685410	Hu/GII/BG1C0446/2013/BGD	NA	2013-01-26	Human	Bangladesh	KJ685410
KJ685411	Hu/GII/BG1C0398/2012/BGD	NA	2012-10-21	Human	Bangladesh	KJ685411
KJ685402	Hu/GII/BG1C0434/2012/BGD	NA	2012-09-04	Human	Bangladesh	KJ685402
KJ685405	Hu/GII/BG1C0282/2011/BGD	NA	2011-08-26	Human	Bangladesh	KJ685405
KJ685409	Hu/GII/BG1C0241_32/2011/BGD	NA	2011-07-13	Human	Bangladesh	KJ685409
KJ685413	Hu/GII/BG1C0317/2011/BGD	NA	2011-11-27	Human	Bangladesh	KJ685413
KJ685408	Hu/GII/BG1C0066/2011/BGD	NA	2011-03-15	Human	Bangladesh	KJ685408
KJ685414	Hu/GII/BG1C0004/2010/BGD	NA	2010-08-21	Human	Bangladesh	KJ685414
KC517376	Hu/GII_4/Taoyuan/CGMH66/2012/TW	NA	2012-08-18	Human	Taiwan	KC517376
KC517361	Hu/GII_4/Taoyuan/CGMH51/2012/TW	NA	2012-01-10	Human	Taiwan	KC517361
KC517369	Hu/GII_4/Taoyuan/CGMH59/2012/TW	NA	2012-04-23	Human	Taiwan	KC517369
KC517362	Hu/GII_4/Taoyuan/CGMH52/2012/TW	NA	2012-01-10	Human	Taiwan	KC517362
KC517368	Hu/GII_4/New_Taipei/CGMH58/2012/TW	NA	2012-04-10	Human	Taiwan	KC517368
KC517377	Hu/GII_4/Taoyuan/CGMH67/2012/TW	NA	2012-09-07	Human	Taiwan	KC517377
KM272334	Hu/GII.4/gg_12_08_04/2012/KR	NA	2012-08-04	Human	South_Korea	KM272334
KC517364	Hu/GII_4/New_Taipei/CGMH54/2012/TW	NA	2012-01-25	Human	Taiwan	KC517364
KC517372	Hu/GII_4/New_Taipei/CGMH62/2012/TW	NA	2012-07-03	Human	Taiwan	KC517372
LC043305	Hu/GII/JP/2014/GII.P17_GII.17/Nagano8_1	NA	2014-XX-XX	Human	Japan	LC043305
KC517378	Hu/GII_4/New_Taipei/CGMH68/2012/TW	NA	2012-09-07	Human	Taiwan	KC517378
KC517365	Hu/GII_4/Taoyuan/CGMH55/2012/TW	NA	2012-02-19	Human	Taiwan	KC517365
LC043139	Hu/GII/JP/2014/GII.P17_GII.17/Nagano7_1	NA	2014-XX-XX	Human	Japan	LC043139
KC962453	GII/Hu/ZAF/2010/GII.P4_GII.4/Bushbuckridge/5928	NA	2010-07-XX	Human	South_Africa	KC962453
KR020503	Hu/NoV/GII.17/41621/Guangzhou/2014/CHN	NA	2014-12-01	Human	China	KR020503
KJ710245	GII/Hu/ZAF/2011/GII.P4_GII.4/CapeTown/6745	NA	2011-01-07	Human	South_Africa	KJ710245
KC962462	GII/Hu/ZAF/2011/GII.P4_GII.4/Empangeni/8491	NA	2011-11-XX	Human	South_Africa	KC962462
EU921389	PC52	NA	NA	Human	India	EU921389
LN854569	GII/Hu/NL/2014/GII.21/Groningen	NA	NA	Human	NA	LN854569
KM258129	12_CG_2_4/2012/GII.Pe/GII.4_Sydney	NA	2012-09-XX	Human	Taiwan	KM258129
LN854572	GII/Hu/NL/2012/GII.4/Nijmegen02	NA	NA	Human	NA	LN854572
KP407451	GI/Hu/CHN/2008/Huzhou/N11	NA	2008-XX-XX	Human	China	KP407451
KJ955493	JB031230049/Nanshan/OB/12/2012/SZ/CHN	NA	2012-12-XX	Human	China	KJ955493
KM036379	Hu/GII.P22/GII.5/Taoyuan/12_BB_4/2012/TW	NA	2012-03-XX	Human	Taiwan	KM036379
KM258130	12_AY_1/2012/GII.4_NewOrleans_2009	NA	2012-03-XX	Human	Taiwan	KM258130
EU921388	PC51	NA	NA	Human	India	EU921388
EU921344	PC15	NA	NA	Human	India	EU921344
KR083017	Hu/GII.17/Gaithersburg/2014/US	NA	2014-11-25	Human	USA	KR083017
LN854566	GII/Hu/NL/2014/GII.4/Groningen01	NA	NA	Human	NA	LN854566
LN854571	GII/Hu/NL/2012/GII.4/Nijmegen01	NA	NA	Human	NA	LN854571
LC066046	Hu/GII/JP/2015/GII.Pe_GII.4/Osaka/OSF78	NA	2015-06-13	Human	Japan	LC066046
LN854570	GII/Hu/NL/2014/GII.2/Groningen	NA	NA	Human	NA	LN854570
KM036380	Hu/GII.P16/GII.13/New_Taipei/13_BA_1/2013/TW	NA	2013-05-XX	Human	Taiwan	KM036380
KM258131	12_AY_2/2012/GII.4_NewOrleans_2009	NA	2012-03-XX	Human	Taiwan	KM258131
LN854568	GII/Hu/NL/2014/GII.6/Groningen	NA	NA	Human	NA	LN854568
KJ955492	JB031230054/Luohu/OB/12/2012/SZ/CHN	NA	2012-12-XX	Human	China	KJ955492
